product_id,product_category_name
prod_00000,esporte_lazer
prod_00001,beleza_saude
prod_00002,beleza_saude
prod_00003,utilidades_domesticas
prod_00004,eletronicos
prod_00005,esporte_lazer
prod_00006,esporte_lazer
prod_00007,informatica_acessorios
prod_00008,bebes
prod_00009,telefonia
prod_00010,cama_mesa_banho
prod_00011,esporte_lazer
prod_00012,bebes
prod_00013,telefonia
prod_00014,ferramentas_jardim
prod_00015,utilidades_domesticas
prod_00016,cama_mesa_banho
prod_00017,utilidades_domesticas
prod_00018,perfumaria
prod_00019,ferramentas_jardim
prod_00020,beleza_saude
prod_00021,cama_mesa_banho
prod_00022,pet_shop
prod_00023,informatica_acessorios
prod_00024,pet_shop
prod_00025,moveis_escritorio
prod_00026,informatica_acessorios
prod_00027,fashion_bolsas_e_acessorios
prod_00028,utilidades_domesticas
prod_00029,moveis_decoracao
prod_00030,cama_mesa_banho
prod_00031,moveis_decoracao
prod_00032,beleza_saude
prod_00033,informatica_acessorios
prod_00034,brinquedos
prod_00035,telefonia
prod_00036,beleza_saude
prod_00037,utilidades_domesticas
prod_00038,eletronicos
prod_00039,telefonia
prod_00040,esporte_lazer
prod_00041,beleza_saude
prod_00042,fashion_bolsas_e_acessorios
prod_00043,moveis_decoracao
prod_00044,ferramentas_jardim
prod_00045,esporte_lazer
prod_00046,cool_stuff
prod_00047,telefonia
prod_00048,telefonia
prod_00049,moveis_decoracao
prod_00050,cama_mesa_banho
prod_00051,esporte_lazer
prod_00052,informatica_acessorios
prod_00053,eletronicos
prod_00054,relogios_presentes
prod_00055,papelaria
prod_00056,telefonia
prod_00057,moveis_escritorio
prod_00058,beleza_saude
prod_00059,beleza_saude
prod_00060,ferramentas_jardim
prod_00061,esporte_lazer
prod_00062,informatica_acessorios
prod_00063,automotivo
prod_00064,pet_shop
prod_00065,brinquedos
prod_00066,utilidades_domesticas
prod_00067,informatica_acessorios
prod_00068,brinquedos
prod_00069,moveis_decoracao
prod_00070,telefonia
prod_00071,automotivo
prod_00072,telefonia
prod_00073,ferramentas_jardim
prod_00074,automotivo
prod_00075,telefonia
prod_00076,eletronicos
prod_00077,automotivo
prod_00078,moveis_escritorio
prod_00079,bebes
prod_00080,papelaria
prod_00081,beleza_saude
prod_00082,eletronicos
prod_00083,fashion_bolsas_e_acessorios
prod_00084,informatica_acessorios
prod_00085,eletronicos
prod_00086,esporte_lazer
prod_00087,telefonia
prod_00088,beleza_saude
prod_00089,cool_stuff
prod_00090,ferramentas_jardim
prod_00091,ferramentas_jardim
prod_00092,fashion_bolsas_e_acessorios
prod_00093,eletronicos
prod_00094,alimentos_bebidas
prod_00095,esporte_lazer
prod_00096,relogios_presentes
prod_00097,ferramentas_jardim
prod_00098,informatica_acessorios
prod_00099,bebes
prod_00100,informatica_acessorios
prod_00101,pet_shop
prod_00102,relogios_presentes
prod_00103,pet_shop
prod_00104,beleza_saude
prod_00105,automotivo
prod_00106,esporte_lazer
prod_00107,brinquedos
prod_00108,pet_shop
prod_00109,cama_mesa_banho
prod_00110,cama_mesa_banho
prod_00111,eletronicos
prod_00112,beleza_saude
prod_00113,informatica_acessorios
prod_00114,beleza_saude
prod_00115,ferramentas_jardim
prod_00116,beleza_saude
prod_00117,automotivo
prod_00118,utilidades_domesticas
prod_00119,informatica_acessorios
prod_00120,moveis_decoracao
prod_00121,telefonia
prod_00122,perfumaria
prod_00123,beleza_saude
prod_00124,moveis_decoracao
prod_00125,informatica_acessorios
prod_00126,moveis_decoracao
prod_00127,automotivo
prod_00128,informatica_acessorios
prod_00129,brinquedos
prod_00130,eletronicos
prod_00131,brinquedos
prod_00132,automotivo
prod_00133,cool_stuff
prod_00134,esporte_lazer
prod_00135,perfumaria
prod_00136,utilidades_domesticas
prod_00137,ferramentas_jardim
prod_00138,moveis_escritorio
prod_00139,esporte_lazer
prod_00140,moveis_decoracao
prod_00141,cool_stuff
prod_00142,moveis_decoracao
prod_00143,beleza_saude
prod_00144,utilidades_domesticas
prod_00145,automotivo
prod_00146,esporte_lazer
prod_00147,fashion_bolsas_e_acessorios
prod_00148,beleza_saude
prod_00149,beleza_saude
prod_00150,fashion_bolsas_e_acessorios
prod_00151,beleza_saude
prod_00152,alimentos_bebidas
prod_00153,cama_mesa_banho
prod_00154,utilidades_domesticas
prod_00155,ferramentas_jardim
prod_00156,moveis_decoracao
prod_00157,beleza_saude
prod_00158,beleza_saude
prod_00159,bebes
prod_00160,cama_mesa_banho
prod_00161,esporte_lazer
prod_00162,informatica_acessorios
prod_00163,cama_mesa_banho
prod_00164,eletronicos
prod_00165,beleza_saude
prod_00166,utilidades_domesticas
prod_00167,beleza_saude
prod_00168,cama_mesa_banho
prod_00169,telefonia
prod_00170,cama_mesa_banho
prod_00171,automotivo
prod_00172,fashion_bolsas_e_acessorios
prod_00173,pet_shop
prod_00174,eletronicos
prod_00175,pet_shop
prod_00176,beleza_saude
prod_00177,esporte_lazer
prod_00178,utilidades_domesticas
prod_00179,beleza_saude
prod_00180,moveis_escritorio
prod_00181,beleza_saude
prod_00182,informatica_acessorios
prod_00183,telefonia
prod_00184,alimentos_bebidas
prod_00185,alimentos_bebidas
prod_00186,moveis_decoracao
prod_00187,esporte_lazer
prod_00188,papelaria
prod_00189,ferramentas_jardim
prod_00190,informatica_acessorios
prod_00191,esporte_lazer
prod_00192,relogios_presentes
prod_00193,cool_stuff
prod_00194,bebes
prod_00195,utilidades_domesticas
prod_00196,brinquedos
prod_00197,moveis_decoracao
prod_00198,perfumaria
prod_00199,automotivo
prod_00200,esporte_lazer
prod_00201,beleza_saude
prod_00202,brinquedos
prod_00203,ferramentas_jardim
prod_00204,automotivo
prod_00205,informatica_acessorios
prod_00206,beleza_saude
prod_00207,moveis_decoracao
prod_00208,esporte_lazer
prod_00209,beleza_saude
prod_00210,fashion_bolsas_e_acessorios
prod_00211,eletronicos
prod_00212,cool_stuff
prod_00213,telefonia
prod_00214,beleza_saude
prod_00215,telefonia
prod_00216,automotivo
prod_00217,cama_mesa_banho
prod_00218,informatica_acessorios
prod_00219,papelaria
prod_00220,informatica_acessorios
prod_00221,esporte_lazer
prod_00222,informatica_acessorios
prod_00223,beleza_saude
prod_00224,beleza_saude
prod_00225,moveis_decoracao
prod_00226,utilidades_domesticas
prod_00227,beleza_saude
prod_00228,utilidades_domesticas
prod_00229,automotivo
prod_00230,perfumaria
prod_00231,informatica_acessorios
prod_00232,telefonia
prod_00233,cool_stuff
prod_00234,relogios_presentes
prod_00235,utilidades_domesticas
prod_00236,perfumaria
prod_00237,cama_mesa_banho
prod_00238,utilidades_domesticas
prod_00239,esporte_lazer
prod_00240,utilidades_domesticas
prod_00241,utilidades_domesticas
prod_00242,esporte_lazer
prod_00243,moveis_escritorio
prod_00244,brinquedos
prod_00245,relogios_presentes
prod_00246,cool_stuff
prod_00247,informatica_acessorios
prod_00248,fashion_bolsas_e_acessorios
prod_00249,eletronicos
prod_00250,relogios_presentes
prod_00251,telefonia
prod_00252,beleza_saude
prod_00253,informatica_acessorios
prod_00254,pet_shop
prod_00255,beleza_saude
prod_00256,ferramentas_jardim
prod_00257,esporte_lazer
prod_00258,utilidades_domesticas
prod_00259,cama_mesa_banho
prod_00260,moveis_decoracao
prod_00261,beleza_saude
prod_00262,telefonia
prod_00263,ferramentas_jardim
prod_00264,alimentos_bebidas
prod_00265,utilidades_domesticas
prod_00266,esporte_lazer
prod_00267,beleza_saude
prod_00268,brinquedos
prod_00269,bebes
prod_00270,pet_shop
prod_00271,esporte_lazer
prod_00272,relogios_presentes
prod_00273,moveis_decoracao
prod_00274,telefonia
prod_00275,moveis_escritorio
prod_00276,cool_stuff
prod_00277,telefonia
prod_00278,telefonia
prod_00279,beleza_saude
prod_00280,informatica_acessorios
prod_00281,beleza_saude
prod_00282,utilidades_domesticas
prod_00283,beleza_saude
prod_00284,automotivo
prod_00285,esporte_lazer
prod_00286,pet_shop
prod_00287,informatica_acessorios
prod_00288,beleza_saude
prod_00289,cool_stuff
prod_00290,esporte_lazer
prod_00291,pet_shop
prod_00292,cool_stuff
prod_00293,perfumaria
prod_00294,cama_mesa_banho
prod_00295,beleza_saude
prod_00296,automotivo
prod_00297,moveis_escritorio
prod_00298,moveis_escritorio
prod_00299,moveis_decoracao
prod_00300,esporte_lazer
prod_00301,perfumaria
prod_00302,beleza_saude
prod_00303,moveis_decoracao
prod_00304,informatica_acessorios
prod_00305,ferramentas_jardim
prod_00306,cool_stuff
prod_00307,perfumaria
prod_00308,informatica_acessorios
prod_00309,ferramentas_jardim
prod_00310,utilidades_domesticas
prod_00311,beleza_saude
prod_00312,cool_stuff
prod_00313,esporte_lazer
prod_00314,eletronicos
prod_00315,esporte_lazer
prod_00316,relogios_presentes
prod_00317,relogios_presentes
prod_00318,cama_mesa_banho
prod_00319,esporte_lazer
prod_00320,ferramentas_jardim
prod_00321,beleza_saude
prod_00322,esporte_lazer
prod_00323,cama_mesa_banho
prod_00324,utilidades_domesticas
prod_00325,moveis_decoracao
prod_00326,pet_shop
prod_00327,moveis_decoracao
prod_00328,utilidades_domesticas
prod_00329,moveis_escritorio
prod_00330,beleza_saude
prod_00331,ferramentas_jardim
prod_00332,papelaria
prod_00333,esporte_lazer
prod_00334,cama_mesa_banho
prod_00335,cama_mesa_banho
prod_00336,pet_shop
prod_00337,moveis_escritorio
prod_00338,ferramentas_jardim
prod_00339,relogios_presentes
prod_00340,ferramentas_jardim
prod_00341,relogios_presentes
prod_00342,moveis_decoracao
prod_00343,relogios_presentes
prod_00344,relogios_presentes
prod_00345,moveis_decoracao
prod_00346,moveis_decoracao
prod_00347,fashion_bolsas_e_acessorios
prod_00348,esporte_lazer
prod_00349,relogios_presentes
prod_00350,esporte_lazer
prod_00351,alimentos_bebidas
prod_00352,cama_mesa_banho
prod_00353,bebes
prod_00354,papelaria
prod_00355,informatica_acessorios
prod_00356,moveis_decoracao
prod_00357,moveis_decoracao
prod_00358,papelaria
prod_00359,beleza_saude
prod_00360,bebes
prod_00361,esporte_lazer
prod_00362,telefonia
prod_00363,utilidades_domesticas
prod_00364,informatica_acessorios
prod_00365,moveis_decoracao
prod_00366,esporte_lazer
prod_00367,bebes
prod_00368,utilidades_domesticas
prod_00369,esporte_lazer
prod_00370,cool_stuff
prod_00371,bebes
prod_00372,beleza_saude
prod_00373,relogios_presentes
prod_00374,telefonia
prod_00375,moveis_decoracao
prod_00376,utilidades_domesticas
prod_00377,automotivo
prod_00378,moveis_escritorio
prod_00379,pet_shop
prod_00380,bebes
prod_00381,ferramentas_jardim
prod_00382,automotivo
prod_00383,moveis_decoracao
prod_00384,relogios_presentes
prod_00385,telefonia
prod_00386,utilidades_domesticas
prod_00387,informatica_acessorios
prod_00388,cool_stuff
prod_00389,informatica_acessorios
prod_00390,utilidades_domesticas
prod_00391,moveis_decoracao
prod_00392,beleza_saude
prod_00393,beleza_saude
prod_00394,beleza_saude
prod_00395,moveis_decoracao
prod_00396,cama_mesa_banho
prod_00397,pet_shop
prod_00398,brinquedos
prod_00399,telefonia
prod_00400,alimentos_bebidas
prod_00401,utilidades_domesticas
prod_00402,telefonia
prod_00403,automotivo
prod_00404,relogios_presentes
prod_00405,beleza_saude
prod_00406,utilidades_domesticas
prod_00407,beleza_saude
prod_00408,beleza_saude
prod_00409,cama_mesa_banho
prod_00410,cama_mesa_banho
prod_00411,telefonia
prod_00412,relogios_presentes
prod_00413,moveis_escritorio
prod_00414,esporte_lazer
prod_00415,beleza_saude
prod_00416,telefonia
prod_00417,relogios_presentes
prod_00418,esporte_lazer
prod_00419,beleza_saude
prod_00420,cool_stuff
prod_00421,relogios_presentes
prod_00422,perfumaria
prod_00423,beleza_saude
prod_00424,cama_mesa_banho
prod_00425,utilidades_domesticas
prod_00426,informatica_acessorios
prod_00427,telefonia
prod_00428,esporte_lazer
prod_00429,ferramentas_jardim
prod_00430,utilidades_domesticas
prod_00431,cama_mesa_banho
prod_00432,moveis_decoracao
prod_00433,perfumaria
prod_00434,utilidades_domesticas
prod_00435,automotivo
prod_00436,bebes
prod_00437,ferramentas_jardim
prod_00438,relogios_presentes
prod_00439,esporte_lazer
prod_00440,eletronicos
prod_00441,utilidades_domesticas
prod_00442,cool_stuff
prod_00443,utilidades_domesticas
